date,teamAbbrv,pitcher_name,throws,win,loss,tie,finished5
2024-03-28,MIA,Jesús Luzardo,L,1,0,0,1
2024-03-28,PIT,Mitch Keller,R,0,1,0,1
2024-04-03,BAL,Corbin Burnes,R,0,1,0,1
2024-04-03,KC,Cole Ragans,L,1,0,0,1
2024-04-01,AZ,Ryne Nelson,R,0,1,0,0
2024-04-01,NYY,Luis Gil,R,1,0,0,0
2024-03-30,BAL,Grayson Rodriguez,R,1,0,0,1
2024-03-30,LAA,Griffin Canning,R,0,1,0,1
2024-03-30,CIN,Hunter Greene,L,1,0,0,0
2024-03-30,WSH,Patrick Corbin,R,0,1,0,0
2024-03-30,MIA,Ryan Weathers,R,0,1,0,0
2024-03-30,PIT,Jared Jones,R,1,0,0,1
2024-04-03,CHC,Luke Little,R,1,0,0,0
2024-04-03,COL,Cal Quantrill,L,0,1,0,0
2024-03-31,LAD,Gavin Stone,R,0,1,0,1
2024-03-31,STL,Steven Matz,L,1,0,0,1
2024-03-30,OAK,JP Sears,R,0,1,0,0
2024-03-30,CLE,Tanner Bibee,R,1,0,0,0
2024-03-29,SEA,George Kirby,R,0,0,1,1
2024-03-29,BOS,Nick Pivetta,R,0,0,1,1
2024-03-30,SEA,Logan Gilbert,R,0,0,1,1
2024-03-30,BOS,Kutter Crawford,R,0,0,1,1
2024-04-01,LAD,James Paxton,L,1,0,0,1
2024-04-01,SF,Keaton Winn,R,0,1,0,1
2024-03-31,PHI,Ranger Suárez,L,0,1,0,1
2024-03-31,ATL,Chris Sale,L,1,0,0,1
2024-03-31,MIA,Trevor Rogers,L,1,0,0,1
2024-03-31,PIT,Bailey Falter,R,0,1,0,0
2024-03-29,MIA,A.J. Puk,R,0,1,0,0
2024-03-29,PIT,Martín Pérez,R,1,0,0,0
2024-04-02,SEA,Luis Castillo,R,0,1,0,1
2024-04-02,CLE,Shane Bieber,R,1,0,0,1
2024-04-01,CWS,Chris Flexen,R,0,1,0,0
2024-04-01,ATL,Charlie Morton,R,1,0,0,1
2024-04-02,OAK,Alex Wood,L,1,0,0,1
2024-04-02,BOS,Brayan Bello,R,0,1,0,1
2024-03-31,TEX,Jon Gray,R,0,0,1,0
